subject,fuzzer,data_type,time,data
live555,aflnet,nodes,360,9.0
live555,aflnet,nodes,361,9.0
live555,aflnet,nodes,362,9.0
live555,aflnet,nodes,363,9.0
live555,aflnet,nodes,364,9.0
live555,aflnet,nodes,365,9.0
live555,aflnet,nodes,366,9.0
live555,aflnet,nodes,367,9.0
live555,aflnet,nodes,368,9.0
live555,aflnet,nodes,369,9.0
live555,aflnet,nodes,370,9.0
live555,aflnet,nodes,371,9.0
live555,aflnet,nodes,372,9.0
live555,aflnet,nodes,373,9.0
live555,aflnet,nodes,374,9.0
live555,aflnet,nodes,375,9.0
live555,aflnet,nodes,376,9.0
live555,aflnet,nodes,377,9.0
live555,aflnet,nodes,378,9.0
live555,aflnet,nodes,379,9.0
live555,aflnet,nodes,380,9.0
live555,aflnet,nodes,381,9.0
live555,aflnet,nodes,382,9.0
live555,aflnet,nodes,383,9.0
live555,aflnet,nodes,384,9.0
live555,aflnet,nodes,385,9.0
live555,aflnet,nodes,386,9.0
live555,aflnet,nodes,387,9.0
live555,aflnet,nodes,388,9.0
live555,aflnet,nodes,389,9.0
live555,aflnet,nodes,390,9.0
live555,aflnet,nodes,391,9.0
live555,aflnet,nodes,392,9.0
live555,aflnet,nodes,393,9.0
live555,aflnet,nodes,394,9.0
live555,aflnet,nodes,395,9.0
live555,aflnet,nodes,396,9.0
live555,aflnet,nodes,397,9.0
live555,aflnet,nodes,398,9.0
live555,aflnet,nodes,399,9.0
live555,aflnet,nodes,400,9.0
live555,aflnet,nodes,401,9.0
live555,aflnet,nodes,402,9.0
live555,aflnet,nodes,403,9.0
live555,aflnet,nodes,404,9.0
live555,aflnet,nodes,405,9.0
live555,aflnet,nodes,406,9.0
live555,aflnet,nodes,407,9.0
live555,aflnet,nodes,408,9.0
live555,aflnet,nodes,409,9.0
live555,aflnet,nodes,410,9.0
live555,aflnet,nodes,411,9.0
live555,aflnet,nodes,412,9.0
live555,aflnet,nodes,413,9.0
live555,aflnet,nodes,414,9.0
live555,aflnet,nodes,415,9.0
live555,aflnet,nodes,416,9.0
live555,aflnet,nodes,417,9.0
live555,aflnet,nodes,418,9.0
live555,aflnet,nodes,419,9.0
live555,aflnet,nodes,420,9.0
live555,aflnet,nodes,421,9.0
live555,aflnet,nodes,422,9.0
live555,aflnet,nodes,423,9.0
live555,aflnet,nodes,424,9.0
live555,aflnet,nodes,425,9.0
live555,aflnet,nodes,426,9.0
live555,aflnet,nodes,427,9.0
live555,aflnet,nodes,428,9.0
live555,aflnet,nodes,429,9.0
live555,aflnet,nodes,430,9.0
live555,aflnet,nodes,431,9.0
live555,aflnet,nodes,432,9.0
live555,aflnet,nodes,433,9.0
live555,aflnet,nodes,434,9.0
live555,aflnet,nodes,435,9.0
live555,aflnet,nodes,436,9.0
live555,aflnet,nodes,437,9.0
live555,aflnet,nodes,438,9.0
live555,aflnet,nodes,439,9.0
live555,aflnet,nodes,440,9.0
live555,aflnet,nodes,441,9.0
live555,aflnet,nodes,442,9.0
live555,aflnet,nodes,443,9.0
live555,aflnet,nodes,444,9.0
live555,aflnet,nodes,445,9.0
live555,aflnet,nodes,446,9.0
live555,aflnet,nodes,447,9.0
live555,aflnet,nodes,448,9.0
live555,aflnet,nodes,449,9.0
live555,aflnet,nodes,450,9.0
live555,aflnet,nodes,451,9.0
live555,aflnet,nodes,452,9.0
live555,aflnet,nodes,453,9.0
live555,aflnet,nodes,454,9.0
live555,aflnet,nodes,455,9.0
live555,aflnet,nodes,456,9.0
live555,aflnet,nodes,457,9.0
live555,aflnet,nodes,458,9.0
live555,aflnet,nodes,459,9.0
live555,aflnet,nodes,460,9.0
live555,aflnet,nodes,461,9.0
live555,aflnet,nodes,462,9.0
live555,aflnet,nodes,463,9.0
live555,aflnet,nodes,464,9.0
live555,aflnet,nodes,465,9.0
live555,aflnet,nodes,466,9.0
live555,aflnet,nodes,467,9.0
live555,aflnet,nodes,468,9.0
live555,aflnet,nodes,469,9.0
live555,aflnet,nodes,470,9.0
live555,aflnet,nodes,471,9.0
live555,aflnet,nodes,472,9.0
live555,aflnet,nodes,473,9.0
live555,aflnet,nodes,474,9.0
live555,aflnet,nodes,475,9.0
live555,aflnet,nodes,476,9.0
live555,aflnet,nodes,477,9.0
live555,aflnet,nodes,478,9.0
live555,aflnet,nodes,479,9.0
live555,aflnet,nodes,480,9.0
live555,aflnet,nodes,481,9.0
live555,aflnet,nodes,482,9.0
live555,aflnet,nodes,483,9.0
live555,aflnet,nodes,484,9.0
live555,aflnet,nodes,485,9.0
live555,aflnet,nodes,486,9.0
live555,aflnet,nodes,487,9.0
live555,aflnet,nodes,488,9.0
live555,aflnet,nodes,489,9.0
live555,aflnet,nodes,490,9.0
live555,aflnet,nodes,491,9.0
live555,aflnet,nodes,492,9.0
live555,aflnet,nodes,493,9.0
live555,aflnet,nodes,494,9.0
live555,aflnet,nodes,495,9.0
live555,aflnet,nodes,496,9.0
live555,aflnet,nodes,497,9.0
live555,aflnet,nodes,498,9.0
live555,aflnet,nodes,499,9.0
live555,aflnet,nodes,500,9.0
live555,aflnet,nodes,501,9.0
live555,aflnet,nodes,502,9.0
live555,aflnet,nodes,503,9.0
live555,aflnet,nodes,504,9.0
live555,aflnet,nodes,505,9.0
